AGENCY_NAME;NIGP_DESCRIPTION;PO_TOTAL_AMOUNT;ORDER_DATE;SUPPLIER;SUPPLIER_CITY;SUPPLIER_STATE
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$11280.00;1/3/11;ROBERT MORRIS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65;$3173.00;1/3/11;FLIK INTERNATIONAL;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MICROCOMPUTERS, DESKTOP OR TOWERBASED 53;$4281.78;1/3/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
OFFICE OF CHIEF TECHNOLOGY OFFICER;MICROCOMPUTERS, DESKTOP OR TOWERBASED 53;$36477.00;1/3/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COMPUTERS, PARTS AND SUPPLIES 29;$10832.00;1/3/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DC PUBLIC LIBRARY;MICROCOMPUTERS, DESKTOP OR TOWERBASED 53;$139800.00;1/3/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
D.C. DEPARTMENT OF HUMAN RESOURCES;ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03;$95000.00;1/3/11;PAYFLEX SYSTEMS USA, INC.;OMAHA  ;NE
DEPARTMENT OF PUBLIC WORKS;COMPUTER MANAGEMENT SERVICES 23;$4500.00;1/3/11;ALLDATA CORPORATION;ELK GROVE  ;CA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$8069.90;1/3/11;BRAINCHILD CORPORATION;NAPLES  ;FL
DEPARTMENT OF MENTAL HEALTH;SOFTWARE MAINTENANCE/SUPPORT 45;$10000.00;1/3/11;PLAN B TECHNOLOGIES, INC.;BOWIE  ;MD
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$116000.00;1/3/11;OST, INC.;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER SOFTWARE CONSULTING 29;$28158.48;1/3/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$70467.00;1/3/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;TELECOMMUNICATIONS CONSULTING 95;$27565.00;1/3/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$50385.00;1/3/11;OST, INC.;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER NETWORK CONSULTING 30;$48020.00;1/3/11;OST, INC.;WASHINGTON  ;DC
COUNCIL OF THE DISTRICT OF COLUMBIA;COMPUTER HARDWARE CONSULTING 28;$28295.00;1/3/11;PROJECTION VIDEO SERV. INC.;SPRINGFIELD  ;VA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ARBITRATION, MEDIATION, AND ALTERNATIVE DISPUTE RESOLUTION SERVICES 05;$7200.00;1/3/11;JEROME H. ROSS, LTD.;MCCLEAN  ;VA
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATIONAL RESEARCH SERVICES 19;$8000.00;1/3/11;BANNER STAFFING LLC;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;ROOFING, GUTTERS, AND DOWNSPOUTS MAINTENANCE AND REPAIR 66;$99115.60;1/3/11;PROVIDENCE CONSTRUCTION AND;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$23000.00;1/3/11;GEORGE WASHINGTON UNIVERSITY -;WASHINGTON  ;DC
OFFICE OF POLICE COMPLAINTS;ARBITRATION, MEDIATION, AND ALTERNATIVE DISPUTE RESOLUTION SERVICES 05;$4800.00;1/3/11;CENTER FOR DISPUTE SETTLEMENT;WASHINGTON  ;DC
DC PUBLIC LIBRARY;CONSTRUCTION SERVICES, GENERAL 00;$853254.42;1/3/11;BENNETT GROUP INC;WASHINGTON  ;DC
COUNCIL OF THE DISTRICT OF COLUMBIA;INTERIOR DESIGN, SPACE PLANNING, AND EXHIBITS/DISPLAYS 52;$23437.00;1/3/11;HARGROVE INC;LANHAM  ;MD
DISTRICT OF COLUMBIA RETIREMENT BOARD;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$119500.00;1/3/11;AON RISK SERVICES, INC OF WASH;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;LEGAL CONSULTING 74;$5100.00;1/3/11;BARBARA C. MCINISS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;DISPLAYS, EDUCATIONAL: KITS, MODELS, PLAQUES, ETC. 44;$8000.00;1/3/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;;$10000.00;1/3/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$15000.00;1/3/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
COUNCIL OF THE DISTRICT OF COLUMBIA;FILM PROCESSING, DUPLICATING AND TOUCH UP SERVICES 38;$10350.00;1/3/11;JLD COMMUNICATIONS;FORESTVILLE  ;MD
LOTTERY & CHARITABLE GAMES CONTROL BOARD;BUSINESS CARDS PRINTED 07;$2610.00;1/3/11;BRENTWORKS;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;MAINTENANCE AND REPAIR, PARKING LOT AND ALLEY 75;$179063.00;1/3/11;THE LANE CONSTRUCTION;CHESHIRE  ;CT
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$11050.00;1/3/11;SINGAPOREMATH.COM;OREGON CITY  ;OR
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TUTORING 80;$12000.00;1/4/11;HEALTHY HABITS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BATTERIES, ALL TYPES 15;$7000.00;1/4/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$350000.00;1/4/11;FAIRNESS ENVIRONMENTAL SERVICE;WASHINGTON  ;DC
DEPARTMENT OF PUBLIC WORKS;PAPER CUTTING, DRILLING, FOLDING, PUNCHING, SHREDDING, TRIMMING, ETC. 71;$11970.00;1/4/11;SHRED-IT USA, INC.;ROCKVILLE  ;MD
DEPT. OF CONSUMER AND REGULATORY AFFAIRS;BUILDING CONSTRUCTION, RESIDENTIAL (APARTMENTS, ETC.) 23;$100000.00;1/4/11;FREEWAY CONSTRUCTION LLC;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$183844.63;1/4/11;MARY MCLEOD BETHUNE DAY ACAD.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ADVISORY SERVICES, EDUCATIONAL 05;$80000.00;1/4/11;WESTAT, INC.;ROCKVILLE  ;MD
DEPARTMENT OF MOTOR VEHICLES;MAILING EQUIPMENT INCLUDING POSTAGE METER RENTAL OR LEASE 54;$9293.50;1/4/11;NATIONAL MAILING SYSTEMS;MCLEAN  ;VA
OFFICE OF CHIEF FINANCIAL OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$42605.60;1/4/11;NATIONAL MAILING SYSTEMS;MCLEAN  ;VA
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$350000.00;1/4/11;JJPS INC.;WASHINGTON  ;DC
